dataset,fold,repeat,seed_label,seed_count,pool_count,total_count,method,selected_count,recall,impact
aimnet2,0,4,10,10,799,280,mp_ridge,270,0.7125,0.4934719983768196
aimnet2,0,4,10,10,799,280,net_force,280,0.8875,0.39706454520096246
aimnet2,0,4,10,10,799,280,rigid_force,280,0.975,0.4013885152516627
aimnet2,0,4,10,10,799,280,force_magnitude,280,0.4125,0.32523160067786033
aimnet2,0,4,10,10,799,280,random,280,0.3504380475594493,0.3504380475594493
aimnet2,0,4,20,20,799,280,trees_log,260,0.9875,0.39607607684339396
aimnet2,0,4,20,20,799,280,trees_raw,260,0.9875,0.39847053492244733
aimnet2,0,4,20,20,799,280,trees_physics,260,0.9625,0.37740813152762565
aimnet2,0,4,20,20,799,280,ridge,260,0.925,0.4116626601990072
aimnet2,0,4,20,20,799,280,mp_ridge,260,0.8375,0.38496786374905745
aimnet2,0,4,20,20,799,280,net_force,280,0.8875,0.39706454520096246
aimnet2,0,4,20,20,799,280,rigid_force,280,0.975,0.4013885152516627
aimnet2,0,4,20,20,799,280,force_magnitude,280,0.4125,0.32523160067786033
aimnet2,0,4,20,20,799,280,random,280,0.3504380475594493,0.3504380475594493
aimnet2,0,4,50,50,799,280,trees_log,230,0.9625,0.3652558169874465
aimnet2,0,4,50,50,799,280,trees_raw,230,0.95,0.35336799383093637
aimnet2,0,4,50,50,799,280,trees_physics,230,0.975,0.3490522271478554
aimnet2,0,4,50,50,799,280,ridge,230,0.9625,0.388621484456948
aimnet2,0,4,50,50,799,280,mp_ridge,230,0.8875,0.38029083743233966
aimnet2,0,4,50,50,799,280,net_force,280,0.8875,0.39706454520096246
aimnet2,0,4,50,50,799,280,rigid_force,280,0.975,0.4013885152516627
aimnet2,0,4,50,50,799,280,force_magnitude,280,0.4125,0.32523160067786033
aimnet2,0,4,50,50,799,280,random,280,0.3504380475594493,0.3504380475594493
aimnet2,0,4,100,100,799,280,trees_log,180,0.9375,0.3064133314928311
aimnet2,0,4,100,100,799,280,trees_raw,180,0.975,0.30911069433994565
aimnet2,0,4,100,100,799,280,trees_physics,180,0.925,0.288541079519667
aimnet2,0,4,100,100,799,280,ridge,180,0.925,0.3285242212889618
aimnet2,0,4,100,100,799,280,mp_ridge,180,0.8875,0.31698235483477694
aimnet2,0,4,100,100,799,280,net_force,280,0.8875,0.39706454520096246
aimnet2,0,4,100,100,799,280,rigid_force,280,0.975,0.4013885152516627
aimnet2,0,4,100,100,799,280,force_magnitude,280,0.4125,0.32523160067786033
aimnet2,0,4,100,100,799,280,random,280,0.3504380475594493,0.3504380475594493
aimnet2,0,4,full,201,799,280,trees_log,79,0.6875,0.17234958052188148
aimnet2,0,4,full,201,799,280,trees_raw,79,0.7,0.17319084694072653
aimnet2,0,4,full,201,799,280,trees_physics,79,0.675,0.1598837797546034
aimnet2,0,4,full,201,799,280,ridge,79,0.725,0.1872933180738544
aimnet2,0,4,full,201,799,280,mp_ridge,79,0.7125,0.18097102572184567
aimnet2,0,4,full,201,799,280,net_force,280,0.8875,0.39706454520096246
aimnet2,0,4,full,201,799,280,rigid_force,280,0.975,0.4013885152516627
aimnet2,0,4,full,201,799,280,force_magnitude,280,0.4125,0.32523160067786033
aimnet2,0,4,full,201,799,280,random,280,0.3504380475594493,0.3504380475594493
aimnet2,1,0,10,10,798,280,trees_log,270,0.4625,0.30262518379311426
aimnet2,1,0,10,10,798,280,trees_raw,270,0.4625,0.30395695398768957
aimnet2,1,0,10,10,798,280,trees_physics,270,0.6625,0.35386232991307276
aimnet2,1,0,10,10,798,280,ridge,270,0.6,0.3567026196261249
aimnet2,1,0,10,10,798,280,mp_ridge,270,0.625,0.3045962124673314
aimnet2,1,0,10,10,798,280,net_force,280,0.8875,0.41386649060767855
aimnet2,1,0,10,10,798,280,rigid_force,280,0.95,0.4182358511373478
aimnet2,1,0,10,10,798,280,force_magnitude,280,0.3625,0.3245968044139289
aimnet2,1,0,10,10,798,280,random,280,0.3508771929824561,0.3508771929824561
aimnet2,1,0,20,20,798,280,trees_log,260,0.95,0.38965629377708494
aimnet2,1,0,20,20,798,280,trees_raw,260,0.95,0.38968581956816045
aimnet2,1,0,20,20,798,280,trees_physics,260,0.95,0.39128862466097647
aimnet2,1,0,20,20,798,280,ridge,260,0.95,0.46082591233730374
aimnet2,1,0,20,20,798,280,mp_ridge,260,0.875,0.3351918622984422
aimnet2,1,0,20,20,798,280,net_force,280,0.8875,0.41386649060767855
aimnet2,1,0,20,20,798,280,rigid_force,280,0.95,0.4182358511373478
aimnet2,1,0,20,20,798,280,force_magnitude,280,0.3625,0.3245968044139289
aimnet2,1,0,20,20,798,280,random,280,0.3508771929824561,0.3508771929824561
aimnet2,1,0,50,50,798,280,trees_log,230,0.95,0.38701094151391235
aimnet2,1,0,50,50,798,280,trees_raw,230,0.95,0.38435319120872274
aimnet2,1,0,50,50,798,280,trees_physics,230,0.95,0.36536124874735565
aimnet2,1,0,50,50,798,280,ridge,230,0.95,0.40721889024625113
aimnet2,1,0,50,50,798,280,mp_ridge,230,0.8875,0.4155240588392223
aimnet2,1,0,50,50,798,280,net_force,280,0.8875,0.41386649060767855
aimnet2,1,0,50,50,798,280,rigid_force,280,0.95,0.4182358511373478
aimnet2,1,0,50,50,798,280,force_magnitude,280,0.3625,0.3245968044139289
aimnet2,1,0,50,50,798,280,random,280,0.3508771929824561,0.3508771929824561
aimnet2,1,0,100,100,798,280,trees_log,180,0.95,0.32419507119968116
